Hugo_Symbol	NTN006_Baseline	NTN007_Baseline	NTN012_Baseline	NTN014_Baseline	NTN017_Baseline	NTN020_Baseline	NTN021_Baseline	NTN022_Baseline	NTN023_Baseline	NTN025_Baseline	NTN029_Baseline	NTN031_Baseline	NTN033_Baseline	NTN038_Baseline	NTN042_Baseline	NTN040_Baseline	NTN046_Baseline	NTN049_Baseline	NTN052_Baseline	NTN050_Baseline	NTN057_Baseline	NTN056_Baseline	NTN058_Baseline	NTN060_Baseline	NTN062_Baseline	NTN063_Baseline	NTN069_Baseline	NTN074_Baseline	NTN076_Baseline	NTN080_Baseline	NTN081_Baseline	NTN083_Baseline	NTN084_Baseline	NTN085_Baseline	NTN087_Baseline	NTN089_Baseline	NTN039_Baseline	H36960.002_Baseline	H36960.023_Baseline	H36960.019_Baseline	H36960.008_Baseline	H36960.018_Baseline	H36960.009_Baseline	NTN011_Baseline	NTN013_Baseline	NTN044_Baseline	NTN072_Baseline	H36960.014_Baseline
DDX11L1	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
FAM138A	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
FAM87B	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
LOC100133331	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
LOC100288069	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
LOC729737	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
MIR6723	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
MIR6859-1	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
OR4F16	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
OR4F29	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
OR4F5	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
RP4-669L17.10	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
WASH7P	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
hsa-mir-1302-2	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
LINC00115	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
LINC01128	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
FAM41C	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
LOC100130417	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
SAMD11	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
NOC2L	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
KLHL17	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
PLEKHN1	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
PERM1	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
