SAMPLE_ID	mutations	gistic
NTN016_Baseline	WXS	WXS
NTN007_Baseline	WXS	WXS
NTN007_Cycle1Day3	WXS	WXS
NTN069_Baseline	WXS	WXS
H36960.019_Baseline	WXS	WXS
NTN052_Baseline	WXS	WXS
NTN072_Baseline	WXS	WXS
NTN085_Baseline	WXS	WXS
NTN085_Cycle1Day3	WXS	WXS
NTN067_Baseline	WXS	WXS
NTN025_Baseline	WXS	WXS
NTN025_Cycle1Day3	WXS	WXS
NTN040_Baseline	WXS	WXS
NTN056_Baseline	WXS	WXS
NTN084_Baseline	WXS	WXS
NTN084_Cycle1Day3	WXS	WXS
NTN054_Baseline	WXS	WXS
NTN046_Baseline	WXS	WXS
NTN046_Cycle1Day3	WXS	WXS
NTN011_Baseline	WXS	WXS
NTN021_Baseline	WXS	WXS
H36960.009_Baseline	WXS	WXS
NTN042_Baseline	WXS	WXS
NTN081_Baseline	WXS	WXS
NTN087_Baseline	WXS	WXS
NTN081_Cycle1Day3	WXS	WXS
NTN012_Baseline	WXS	WXS
NTN012_Cycle1Day3	WXS	WXS
NTN050_Baseline	WXS	WXS
NTN050_Cycle1Day3	WXS	WXS
NTN014_Baseline	WXS	WXS
NTN057_Baseline	WXS	WXS
NTN083_Baseline	WXS	WXS
NTN089_Baseline	WXS	WXS
NTN005_Baseline	WXS	WXS
NTN075_Baseline	WXS	WXS
NTN029_Baseline	WXS	WXS
NTN029_Cycle1Day3	WXS	WXS
NTN063_Baseline	WXS	WXS
NTN038_Baseline	WXS	WXS
NTN038_Cycle1Day3	WXS	WXS
NTN023_Baseline	WXS	WXS
NTN080_Baseline	WXS	WXS
NTN059_Baseline	WXS	WXS
H36960.018_Baseline	WXS	WXS
NTN049_Baseline	WXS	WXS
NTN049_Cycle1Day3	WXS	WXS
NTN006_Baseline	WXS	WXS
NTN020_Baseline	WXS	WXS
NTN031_Baseline	WXS	WXS
NTN044_Baseline	WXS	WXS
NTN006_Cycle1Day3	WXS	WXS
NTN078_Baseline	WXS	WXS
NTN017_Baseline	WXS	WXS
NTN017_Cycle1Day3	WXS	WXS
NTN062_Baseline	WXS	WXS
NTN062_Cycle1Day3	WXS	WXS
H36960.002_Baseline	WXS	WXS
H36960.008_Baseline	WXS	WXS
NTN039_Baseline	WXS	WXS
NTN060_Baseline	WXS	WXS
NTN074_Baseline	WXS	WXS
NTN009_Baseline	WXS	WXS
NTN022_Baseline	WXS	WXS
NTN022_Cycle1Day3	WXS	WXS
NTN033_Baseline	WXS	WXS
NTN033_Cycle1Day3	WXS	WXS
NTN058_Baseline	WXS	WXS
H36960.023_Baseline	WXS	WXS
NTN076_Baseline	WXS	WXS
NTN004_Baseline	WXS	WXS
H36960.014_Baseline	WXS	WXS
NTN013_Baseline	WXS	WXS
NTN051_Baseline	WXS	WXS
NTN079_Baseline	WXS	WXS
